Latitude, Longitude, Altitude
5.5566063, 95.3142700, 7.5
5.5566010, 95.3142780, 7.3
5.5565944, 95.3142850, 6.9
5.5565882, 95.3143080, 6.7
5.5565710, 95.3143080, 6.8
5.5565615, 95.3143230, 8.0
5.5565543, 95.3143390, 8.1
5.5565472, 95.3143460, 8.1
5.5565386, 95.3143540, 8.2
5.5565295, 95.3143620, 8.3
5.5565214, 95.3143770, 8.6
5.5565085, 95.3143840, 8.9
5.5565000, 95.3143920, 9.8
5.5564919, 95.3144070, 10.1
5.5564866, 95.3144230, 10.6
5.5564809, 95.3144300, 10.7
5.5564775, 95.3144380, 10.7
5.5564704, 95.3144530, 10.6
5.5564561, 95.3144680, 11.1
5.5564504, 95.3144760, 11.1
5.5564461, 95.3144910, 10.9
5.5564394, 95.3145070, 11.0
5.5564308, 95.3145140, 11.0
5.5564222, 95.3145290, 11.3
5.5564137, 95.3145370, 11.6
5.5564027, 95.3145450, 11.7
5.5563931, 95.3145600, 12.6
5.5563855, 95.3145750, 12.9
5.5563745, 95.3145830, 13.2
5.5563650, 95.3145900, 14.1
5.5563569, 95.3146060, 14.7
5.5563483, 95.3146130, 14.8
5.5563440, 95.3146290, 14.8
5.5563369, 95.3146290, 15.0
5.5563345, 95.3146440, 15.1
5.5563269, 95.3146590, 14.1
5.5563135, 95.3146670, 13.8
5.5563073, 95.3146740, 14.2
5.5563040, 95.3146900, 14.4
5.5562992, 95.3146970, 14.1
5.5562935, 95.3147050, 13.9
5.5562873, 95.3147200, 13.6
5.5562806, 95.3147280, 13.8
5.5562778, 95.3147430, 13.6
5.5562720, 95.3147510, 13.2
5.5562649, 95.3147580, 13.1
5.5562553, 95.3147660, 12.5
5.5562487, 95.3147740, 12.4
5.5562391, 95.3147890, 11.9
5.5562320, 95.3147960, 12.2
5.5562263, 95.3148040, 12.4
5.5562243, 95.3148190, 12.2
5.5562234, 95.3148270, 11.2
5.5562191, 95.3148270, 10.2
5.5562158, 95.3148420, 9.9
5.5562091, 95.3148500, 9.8
5.5562038, 95.3148650, 9.6
5.5561957, 95.3148650, 8.6
5.5561914, 95.3148650, 7.5
5.5561843, 95.3148800, 6.6
5.5561757, 95.3148880, 6.2
5.5561709, 95.3149030, 6.7
5.5561690, 95.3149190, 6.9
5.5561695, 95.3149410, 7.2
5.5561671, 95.3149490, 7.1
5.5561619, 95.3149640, 7.2
5.5561566, 95.3149800, 7.1
5.5561543, 95.3149870, 7.0
5.5561495, 95.3149950, 6.5
5.5561447, 95.3150100, 6.3
5.5561423, 95.3150250, 6.2
5.5561404, 95.3150250, 6.1
5.5561385, 95.3150480, 6.0
5.5561385, 95.3150560, 6.2
5.5561399, 95.3150630, 6.3
5.5561404, 95.3150710, 6.3
5.5561433, 95.3150790, 6.4
5.5561471, 95.3150860, 6.2
5.5561519, 95.3151020, 6.2
5.5561614, 95.3151020, 6.2
5.5561690, 95.3151020, 5.8
5.5561771, 95.3151020, 6.3
5.5561814, 95.3151090, 6.5
5.5561776, 95.3151170, 7.7
5.5561743, 95.3151170, 8.7
5.5561719, 95.3151170, 8.8
5.5561709, 95.3151250, 8.5
5.5561743, 95.3151250, 9.0
5.5561762, 95.3151320, 9.3
5.5561748, 95.3151320, 9.5
5.5561767, 95.3151400, 9.9
5.5561790, 95.3151400, 10.3
5.5561814, 95.3151400, 10.6
5.5561838, 95.3151470, 11.2
5.5561867, 95.3151550, 11.6
5.5561891, 95.3151630, 12.4
