 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  5; 19; 45.0000;185.0000;   691;     0;     0; 28130; 28821;0.003424;0.000000;0.003424;0.023976;1.000000;0.023976;0.021430;1.000000;0.021430;0.008209;0.008209;0.004824;0.004994;0.164328;0.070629;0.234957;0.164328;0.070629;0.234957;0.003522;0.001693;0.005215
 All;  5; 20; 45.0000;195.0000;   570;     0;     0; 28250; 28820;0.003424;0.000000;0.003424;0.019778;1.000000;0.019778;0.018961;1.000000;0.018961;0.006772;0.006772;0.004824;0.004994;0.165362;0.070629;0.235991;0.165362;0.070629;0.235991;0.003135;0.001397;0.004532
 All;  5; 21; 45.0000;205.0000;  3569;     0;     0; 25253; 28822;0.003424;0.000000;0.003424;0.123829;1.000000;0.123829;0.124384;1.000000;0.124384;0.042397;0.042397;0.004824;0.004994;0.163805;0.070629;0.234434;0.163805;0.070629;0.234434;0.020375;0.008746;0.029121
 All;  5; 22; 45.0000;215.0000; 14555;     0;     0; 14263; 28818;0.003424;0.000000;0.003424;0.505066;1.000000;0.505066;0.476113;1.000000;0.476113;0.172925;0.172925;0.004824;0.004994;0.166182;0.070629;0.236811;0.166182;0.070629;0.236811;0.079121;0.035672;0.114794
 All;  5; 23; 45.0000;225.0000; 19373;     0;     0;  9448; 28821;0.003424;0.000000;0.003424;0.672183;1.000000;0.672183;0.624359;1.000000;0.624359;0.230142;0.230142;0.004824;0.004994;0.172975;0.070629;0.243604;0.172975;0.070629;0.243604;0.107999;0.047476;0.155474
 All;  5; 24; 45.0000;235.0000; 22044;     0;     0;  6781; 28825;0.003424;0.000000;0.003424;0.764753;1.000000;0.764753;0.767329;1.000000;0.767329;0.261836;0.261836;0.004824;0.004994;0.196347;0.070629;0.266976;0.196347;0.070629;0.266976;0.150663;0.054014;0.204676
 All;  5; 25; 45.0000;245.0000;  3316;     0;     0; 25500; 28816;0.003424;0.000000;0.003424;0.115075;1.000000;0.115075;0.097737;1.000000;0.097737;0.039399;0.039399;0.004824;0.004994;0.290204;0.070629;0.360833;0.290204;0.070629;0.360833;0.028364;0.008128;0.036491
 All;  5; 26; 45.0000;255.0000;  2604;     0;     0; 26218; 28822;0.003424;0.000000;0.003424;0.090348;1.000000;0.090348;0.110186;1.000000;0.110186;0.030933;0.030933;0.004824;0.004994;0.235912;0.070629;0.306541;0.235912;0.070629;0.306541;0.025994;0.006381;0.032375
 All;  5; 27; 45.0000;265.0000;  6669;     0;     0; 22161; 28830;0.003424;0.000000;0.003424;0.231322;1.000000;0.231322;0.825776;1.000000;0.825776;0.079200;0.079200;0.004824;0.004994;0.006439;0.070629;0.077068;0.006439;0.070629;0.077068;0.005317;0.016338;0.021655
 All;  5; 28; 45.0000;275.0000;   321;     0;     0; 28500; 28821;0.003424;0.000000;0.003424;0.011138;1.000000;0.011138;1.000000;1.000000;1.000000;0.003813;0.003813;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.000787;0.000787
 All;  5; 29; 45.0000;285.0000;  1186;     0;     0; 27634; 28820;0.003424;0.000000;0.003424;0.041152;1.000000;0.041152;1.000000;1.000000;1.000000;0.014090;0.014090;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.002907;0.002907
 All;  5; 30; 45.0000;295.0000;    71;     0;     0; 28751; 28822;0.003424;0.000000;0.003424;0.002463;1.000000;0.002463;1.000000;1.000000;1.000000;0.000843;0.000843;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.000174;0.000174
 All;  5; 31; 45.0000;305.0000;  1518;     0;     0; 27300; 28818;0.003424;0.000000;0.003424;0.052675;1.000000;0.052675;1.000000;1.000000;1.000000;0.018035;0.018035;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.003720;0.003720
 All;  5; 32; 45.0000;315.0000;   281;     0;     0; 28540; 28821;0.003424;0.000000;0.003424;0.009750;1.000000;0.009750;1.000000;1.000000;1.000000;0.003338;0.003338;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.000689;0.000689
 All;  5; 33; 45.0000;325.0000;  1075;     0;     0; 27750; 28825;0.003424;0.000000;0.003424;0.037294;1.000000;0.037294;1.000000;1.000000;1.000000;0.012769;0.012769;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.002634;0.002634
 All;  5; 34; 45.0000;335.0000;   845;     0;     0; 27971; 28816;0.003424;0.000000;0.003424;0.029324;1.000000;0.029324;1.000000;1.000000;1.000000;0.010040;0.010040;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.002071;0.002071
 All;  5; 35; 45.0000;345.0000;   859;     0;     0; 27963; 28822;0.003424;0.000000;0.003424;0.029804;1.000000;0.029804;1.000000;1.000000;1.000000;0.010204;0.010204;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.002105;0.002105
 All;  5; 36; 45.0000;355.0000;  2134;     0;     0; 26696; 28830;0.003424;0.000000;0.003424;0.074020;1.000000;0.074020;1.000000;1.000000;1.000000;0.025343;0.025343;0.004824;0.004994;0.000000;0.070629;0.070629;0.000000;0.070629;0.070629;0.000000;0.005228;0.005228
 All;  6;  1; 55.0000;  5.0000; 13980;     0;     0;  8432; 22412;0.002777;0.000000;0.002777;0.623773;1.000000;0.623773;1.000000;1.000000;1.000000;0.173237;0.173237;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.041400;0.041400
 All;  6;  2; 55.0000; 15.0000; 14426;     0;     0;  7986; 22412;0.002777;0.000000;0.002777;0.643673;1.000000;0.643673;1.000000;1.000000;1.000000;0.178764;0.178764;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.042720;0.042720
 All;  6;  3; 55.0000; 25.0000; 15148;     0;     0;  7263; 22411;0.002777;0.000000;0.002777;0.675918;1.000000;0.675918;1.000000;1.000000;1.000000;0.187719;0.187719;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.044860;0.044860
 All;  6;  4; 55.0000; 35.0000;  3483;     0;     0; 18933; 22416;0.002777;0.000000;0.002777;0.155380;1.000000;0.155380;1.000000;1.000000;1.000000;0.043153;0.043153;0.004533;0.005129;0.000000;0.066370;0.066370;0.000000;0.066370;0.066370;0.000000;0.010313;0.010313
