 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  2; 35; 15.0000;345.0000;  2950;     0;     0; 35655; 38605;0.004677;0.000000;0.004677;0.076415;1.000000;0.076415;1.000000;1.000000;1.000000;0.035739;0.035739;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.002699;0.002699
 All;  2; 36; 15.0000;355.0000;  2998;     0;     0; 35600; 38598;0.004677;0.000000;0.004677;0.077672;1.000000;0.077672;1.000000;1.000000;1.000000;0.036327;0.036327;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.002743;0.002743
 All;  3;  1; 25.0000;  5.0000;  5107;     0;     0; 28337; 33444;0.004388;0.000000;0.004388;0.152703;1.000000;0.152703;1.000000;1.000000;1.000000;0.067011;0.067011;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.008262;0.008262
 All;  3;  2; 25.0000; 15.0000;  3137;     0;     0; 30319; 33456;0.004388;0.000000;0.004388;0.093765;1.000000;0.093765;1.000000;1.000000;1.000000;0.041147;0.041147;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.005073;0.005073
 All;  3;  3; 25.0000; 25.0000; 11553;     0;     0; 21902; 33455;0.004388;0.000000;0.004388;0.345330;1.000000;0.345330;1.000000;1.000000;1.000000;0.151542;0.151542;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.018684;0.018684
 All;  3;  4; 25.0000; 35.0000;  9017;     0;     0; 24439; 33456;0.004388;0.000000;0.004388;0.269518;1.000000;0.269518;1.000000;1.000000;1.000000;0.118273;0.118273;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.014582;0.014582
 All;  3;  5; 25.0000; 45.0000;  4233;     0;     0; 29218; 33451;0.004388;0.000000;0.004388;0.126543;1.000000;0.126543;1.000000;1.000000;1.000000;0.055531;0.055531;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.006847;0.006847
 All;  3;  6; 25.0000; 55.0000;  1454;     0;     0; 31991; 33445;0.004388;0.000000;0.004388;0.043474;1.000000;0.043474;1.000000;1.000000;1.000000;0.019078;0.019078;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.002352;0.002352
 All;  3;  7; 25.0000; 65.0000;  1844;     0;     0; 31611; 33455;0.004388;0.000000;0.004388;0.055119;1.000000;0.055119;1.000000;1.000000;1.000000;0.024188;0.024188;0.003695;0.002924;0.000000;0.054105;0.054105;0.000000;0.054105;0.054105;0.000000;0.002982;0.002982
 All;  3;  8; 25.0000; 75.0000;  3686;     0;     0; 29766; 33452;0.004388;0.000000;0.004388;0.110188;1.000000;0.110188;0.024053;1.000000;0.024053;0.048354;0.048354;0.003695;0.002924;0.016775;0.054105;0.070880;0.016775;0.054105;0.070880;0.000403;0.005962;0.006365
