Latitude, Longitude, Altitude
5.2436762, 95.5905840, 299.8
5.2436719, 95.5905760, 300.0
5.2436728, 95.5905760, 300.0
5.2436676, 95.5905760, 300.0
5.2436690, 95.5905760, 300.0
5.2436643, 95.5905760, 300.1
5.2436619, 95.5905760, 299.7
5.2436619, 95.5905690, 299.1
5.2436662, 95.5905760, 298.7
5.2436647, 95.5905690, 299.0
5.2436671, 95.5905690, 298.7
5.2436666, 95.5905690, 298.6
5.2436647, 95.5905610, 298.6
5.2436638, 95.5905610, 298.7
5.2436614, 95.5905610, 298.3
5.2436633, 95.5905610, 298.6
5.2436657, 95.5905610, 298.7
5.2436709, 95.5905610, 298.6
5.2436719, 95.5905610, 298.2
5.2436776, 95.5905610, 298.1
5.2436786, 95.5905610, 297.9
5.2436814, 95.5905690, 297.6
5.2436814, 95.5905690, 297.4
5.2436914, 95.5905690, 297.1
5.2436948, 95.5905690, 297.1
5.2436967, 95.5905760, 297.2
5.2437010, 95.5905760, 296.8
5.2437038, 95.5905840, 296.7
5.2437067, 95.5905840, 297.1
5.2437115, 95.5905840, 296.8
5.2437186, 95.5905840, 296.7
5.2437186, 95.5905840, 297.1
5.2437215, 95.5905840, 296.8
5.2437234, 95.5905840, 296.8
5.2437258, 95.5905760, 296.3
5.2437239, 95.5905760, 296.2
5.2437282, 95.5905760, 296.0
5.2437286, 95.5905760, 295.9
5.2437296, 95.5905760, 296.2
5.2437315, 95.5905760, 296.1
5.2437344, 95.5905760, 296.0
5.2437344, 95.5905760, 296.0
5.2437348, 95.5905690, 295.9
5.2437344, 95.5905690, 295.7
5.2437358, 95.5905690, 295.7
5.2437363, 95.5905690, 295.4
5.2437353, 95.5905690, 295.1
5.2437339, 95.5905690, 295.0
5.2437329, 95.5905610, 295.0
5.2437320, 95.5905610, 294.8
5.2437310, 95.5905610, 294.9
5.2437186, 95.5905530, 294.8
5.2437091, 95.5905460, 292.1
5.2437015, 95.5905460, 290.3
5.2436972, 95.5905460, 288.7
5.2436943, 95.5905460, 287.7
5.2436929, 95.5905380, 286.8
5.2436938, 95.5905380, 286.0
5.2436948, 95.5905460, 285.6
5.2436948, 95.5905460, 285.4
5.2436967, 95.5905460, 285.0
5.2436991, 95.5905460, 284.7
5.2436991, 95.5905460, 284.6
5.2437005, 95.5905460, 284.3
5.2437024, 95.5905460, 284.0
5.2437038, 95.5905460, 284.1
5.2437081, 95.5905460, 284.0
5.2437115, 95.5905460, 284.2
5.2437119, 95.5905460, 284.3
5.2437143, 95.5905460, 284.3
5.2437167, 95.5905460, 284.5
5.2437191, 95.5905460, 284.7
5.2437210, 95.5905460, 284.9
5.2437215, 95.5905460, 285.2
5.2437215, 95.5905460, 285.4
5.2437215, 95.5905460, 285.6
5.2437220, 95.5905460, 285.7
5.2437215, 95.5905460, 285.9
5.2437224, 95.5905460, 286.1
5.2437224, 95.5905460, 286.5
5.2437224, 95.5905460, 286.7
5.2437224, 95.5905460, 287.0
5.2437224, 95.5905460, 287.1
5.2437229, 95.5905460, 287.4
5.2437224, 95.5905460, 287.6
5.2437201, 95.5905460, 287.6
5.2437196, 95.5905460, 287.9
5.2437201, 95.5905460, 288.0
5.2437186, 95.5905460, 288.5
5.2437181, 95.5905530, 288.9
5.2437162, 95.5905530, 289.5
5.2437148, 95.5905530, 289.9
5.2437129, 95.5905530, 290.1
5.2437096, 95.5905530, 289.9
5.2437062, 95.5905530, 289.7
5.2437048, 95.5905530, 289.6
5.2437034, 95.5905530, 289.8
5.2437034, 95.5905610, 290.1
5.2437024, 95.5905610, 290.5
5.2437038, 95.5905530, 290.7
5.2437057, 95.5905610, 291.3
5.2437043, 95.5905530, 291.7
5.2437048, 95.5905530, 291.9
5.2437034, 95.5905530, 292.6
5.2436996, 95.5905530, 292.9
5.2436976, 95.5905460, 292.9
5.2436981, 95.5905460, 293.1
5.2436986, 95.5905460, 294.2
5.2436976, 95.5905460, 294.4
5.2436967, 95.5905460, 294.7
5.2436991, 95.5905460, 294.8
5.2436953, 95.5905460, 295.4
5.2436924, 95.5905460, 295.1
5.2436872, 95.5905460, 294.6
5.2436829, 95.5905460, 293.7
5.2436767, 95.5905460, 293.2
5.2436719, 95.5905460, 292.4
5.2436690, 95.5905460, 291.7
5.2436700, 95.5905460, 291.3
5.2436690, 95.5905460, 291.4
5.2436671, 95.5905460, 291.2
5.2436671, 95.5905460, 291.0
5.2436686, 95.5905460, 290.8
5.2436709, 95.5905460, 291.3
5.2436700, 95.5905460, 291.9
5.2436705, 95.5905460, 291.9
5.2436738, 95.5905460, 292.1
5.2436752, 95.5905460, 292.8
5.2436762, 95.5905530, 293.5
5.2436790, 95.5905530, 293.9
5.2436824, 95.5905530, 294.7
5.2436852, 95.5905610, 295.9
5.2436881, 95.5905610, 296.8
5.2436895, 95.5905610, 297.8
5.2436905, 95.5905610, 297.9
5.2436919, 95.5905610, 297.9
5.2436953, 95.5905690, 298.1
5.2436991, 95.5905690, 298.9
5.2437015, 95.5905690, 299.4
5.2437067, 95.5905760, 299.7
5.2437115, 95.5905760, 300.7
5.2437124, 95.5905760, 301.5
5.2437115, 95.5905760, 301.9
5.2437096, 95.5905760, 301.6
5.2437072, 95.5905690, 301.1
5.2437010, 95.5905610, 299.7
5.2436976, 95.5905530, 298.7
5.2436943, 95.5905530, 297.8
5.2436914, 95.5905460, 296.9
5.2436891, 95.5905460, 296.1
5.2436867, 95.5905460, 295.4
5.2436848, 95.5905460, 294.9
5.2436843, 95.5905460, 294.5
5.2436843, 95.5905460, 294.2
5.2436843, 95.5905460, 293.9
5.2436824, 95.5905460, 293.8
5.2436800, 95.5905460, 293.8
5.2436790, 95.5905460, 293.9
5.2436776, 95.5905460, 293.8
5.2436728, 95.5905460, 293.7
5.2436700, 95.5905460, 293.3
5.2436686, 95.5905460, 293.1
5.2436681, 95.5905460, 292.9
5.2436681, 95.5905460, 292.5
5.2436690, 95.5905460, 292.3
5.2436714, 95.5905460, 291.9
5.2436724, 95.5905460, 291.5
5.2436743, 95.5905460, 291.1
5.2436743, 95.5905460, 290.7
5.2436757, 95.5905530, 290.5
5.2436767, 95.5905530, 290.0
5.2436767, 95.5905610, 289.6
5.2436776, 95.5905610, 289.5
5.2436767, 95.5905610, 289.2
5.2436771, 95.5905690, 289.0
5.2436767, 95.5905690, 289.1
5.2436743, 95.5905690, 289.0
5.2436719, 95.5905690, 289.2
5.2436695, 95.5905690, 289.5
5.2436681, 95.5905760, 289.7
5.2436671, 95.5905760, 290.0
5.2436666, 95.5905760, 290.4
5.2436671, 95.5905760, 291.0
5.2436676, 95.5905760, 292.1
5.2436676, 95.5905760, 292.4
5.2436671, 95.5905760, 293.0
5.2436657, 95.5905760, 293.4
5.2436657, 95.5905760, 293.5
5.2436643, 95.5905690, 293.7
5.2436619, 95.5905690, 293.5
5.2436590, 95.5905610, 293.0
5.2436595, 95.5905610, 292.7
5.2436585, 95.5905530, 292.7
5.2436566, 95.5905530, 292.4
5.2436557, 95.5905530, 293.1
5.2436557, 95.5905460, 293.5
5.2436543, 95.5905460, 293.1
5.2436519, 95.5905460, 292.9
5.2436609, 95.5905460, 292.8
5.2436595, 95.5905460, 293.6
5.2436566, 95.5905380, 294.4
5.2436566, 95.5905300, 295.0
5.2436576, 95.5905300, 295.3
5.2436552, 95.5905230, 294.2
5.2436552, 95.5905150, 294.0
5.2436533, 95.5905150, 294.3
5.2436528, 95.5905080, 294.2
5.2436571, 95.5905080, 294.3
5.2436576, 95.5905000, 294.8
5.2436681, 95.5905000, 294.2
5.2436776, 95.5905080, 295.2
5.2436872, 95.5905080, 295.8
5.2436872, 95.5905080, 294.8
5.2436867, 95.5905000, 294.3
5.2436867, 95.5905000, 293.9
5.2436857, 95.5905000, 294.0
5.2436867, 95.5904920, 293.5
5.2436953, 95.5904850, 293.9
5.2436738, 95.5904620, 291.1
5.2436614, 95.5904540, 284.6
5.2436600, 95.5904540, 281.5
5.2436528, 95.5904390, 280.2
5.2436595, 95.5904310, 280.0
5.2436614, 95.5904310, 280.1
5.2436590, 95.5904160, 278.6
5.2436576, 95.5904160, 279.2
5.2436566, 95.5904080, 279.6
5.2436519, 95.5904080, 279.8
5.2436442, 95.5903930, 279.9
5.2436438, 95.5903930, 279.7
5.2436447, 95.5903850, 280.1
5.2436419, 95.5903850, 280.2
5.2436380, 95.5903850, 280.5
5.2436361, 95.5903780, 280.1
5.2436347, 95.5903780, 280.2
5.2436271, 95.5903700, 279.9
5.2436242, 95.5903550, 279.7
5.2436237, 95.5903550, 279.8
5.2436271, 95.5903470, 279.6
5.2436218, 95.5903470, 280.5
5.2436199, 95.5903400, 280.7
5.2436123, 95.5903320, 281.3
5.2436047, 95.5903400, 281.2
5.2435913, 95.5903240, 281.3
5.2435799, 95.5903170, 279.2
5.2435675, 95.5903020, 278.6
5.2435617, 95.5903020, 276.6
5.2435617, 95.5903020, 277.2
5.2435594, 95.5903020, 278.0
5.2435551, 95.5902940, 279.0
