DateTime, Latitude, Longitude, Altitude, Temperature
2021-02-07T09:42:35, 5.3560386, 95.4182360, 65.3, 27
2021-02-07T09:42:36, 5.3560400, 95.4182360, 65.6, 27
2021-02-07T09:42:37, 5.3560457, 95.4182430, 65.1, 27
2021-02-07T09:42:38, 5.3560505, 95.4182510, 66.0, 27
2021-02-07T09:42:39, 5.3560553, 95.4182510, 65.4, 27
2021-02-07T09:42:40, 5.3560586, 95.4182660, 65.0, 27
2021-02-07T09:42:42, 5.3560686, 95.4182740, 64.3, 27
2021-02-07T09:42:43, 5.3560748, 95.4182820, 64.2, 27
2021-02-07T09:42:44, 5.3560810, 95.4182820, 64.2, 27
2021-02-07T09:42:45, 5.3560910, 95.4182890, 64.4, 27
2021-02-07T09:42:46, 5.3560972, 95.4182890, 64.6, 27
2021-02-07T09:42:47, 5.3561077, 95.4182890, 64.1, 27
2021-02-07T09:42:48, 5.3561153, 95.4182890, 63.8, 27
2021-02-07T09:42:49, 5.3561273, 95.4182890, 63.8, 27
2021-02-07T09:42:50, 5.3561368, 95.4182970, 64.6, 27
2021-02-07T09:42:51, 5.3561444, 95.4182970, 65.4, 27
2021-02-07T09:42:52, 5.3561521, 95.4182970, 65.6, 27
2021-02-07T09:42:53, 5.3561587, 95.4182970, 65.4, 27
2021-02-07T09:42:54, 5.3561630, 95.4183040, 65.5, 27
2021-02-07T09:42:55, 5.3561668, 95.4183040, 65.3, 27
2021-02-07T09:42:56, 5.3561716, 95.4183120, 65.9, 27
2021-02-07T09:42:57, 5.3561735, 95.4183200, 66.8, 27
2021-02-07T09:42:58, 5.3561749, 95.4183270, 67.2, 27
2021-02-07T09:42:59, 5.3561735, 95.4183350, 67.3, 27
2021-02-07T09:43:00, 5.3561745, 95.4183430, 65.5, 27
2021-02-07T09:43:01, 5.3561726, 95.4183580, 65.0, 27
2021-02-07T09:43:02, 5.3561721, 95.4183650, 64.3, 27
2021-02-07T09:43:03, 5.3561735, 95.4183650, 63.9, 27
2021-02-07T09:43:04, 5.3561730, 95.4183650, 64.0, 27
2021-02-07T09:43:05, 5.3561707, 95.4183730, 64.1, 27
2021-02-07T09:43:06, 5.3561683, 95.4183810, 63.6, 27
2021-02-07T09:43:07, 5.3561659, 95.4183960, 63.5, 27
2021-02-07T09:43:08, 5.3561635, 95.4184110, 63.8, 27
2021-02-07T09:43:09, 5.3561635, 95.4184110, 63.6, 27
2021-02-07T09:43:10, 5.3561645, 95.4184270, 63.2, 27
2021-02-07T09:43:11, 5.3561659, 95.4184420, 63.2, 27
2021-02-07T09:43:12, 5.3561659, 95.4184490, 63.5, 27
2021-02-07T09:43:13, 5.3561640, 95.4184720, 63.4, 27
2021-02-07T09:43:14, 5.3561654, 95.4184880, 63.4, 28
2021-02-07T09:43:15, 5.3561659, 95.4184880, 63.7, 28
2021-02-07T09:43:16, 5.3561645, 95.4184880, 63.4, 28
2021-02-07T09:43:17, 5.3561673, 95.4184950, 63.4, 28
2021-02-07T09:43:18, 5.3561630, 95.4184950, 63.4, 28
2021-02-07T09:43:19, 5.3561606, 95.4184950, 64.4, 28
2021-02-07T09:43:20, 5.3561587, 95.4185030, 64.0, 28
2021-02-07T09:43:22, 5.3561578, 95.4185030, 64.9, 28
2021-02-07T09:43:23, 5.3561559, 95.4185100, 64.8, 28
2021-02-07T09:43:24, 5.3561544, 95.4185180, 65.0, 28
2021-02-07T09:43:25, 5.3561482, 95.4185260, 65.1, 28
2021-02-07T09:43:26, 5.3561435, 95.4185260, 65.1, 28
2021-02-07T09:43:27, 5.3561411, 95.4185330, 65.1, 28
2021-02-07T09:43:28, 5.3561382, 95.4185490, 64.9, 28
2021-02-07T09:43:29, 5.3561392, 95.4185490, 65.7, 28
2021-02-07T09:43:30, 5.3561392, 95.4185560, 65.6, 28
2021-02-07T09:43:31, 5.3561358, 95.4185640, 65.8, 28
2021-02-07T09:43:32, 5.3561382, 95.4185640, 66.0, 28
2021-02-07T09:43:33, 5.3561416, 95.4185640, 65.9, 28
2021-02-07T09:43:34, 5.3561449, 95.4185640, 65.9, 28
2021-02-07T09:43:35, 5.3561473, 95.4185710, 65.7, 28
2021-02-07T09:43:36, 5.3561482, 95.4185790, 65.4, 28
2021-02-07T09:43:37, 5.3561482, 95.4185870, 65.4, 28
2021-02-07T09:43:38, 5.3561511, 95.4185940, 66.6, 28
2021-02-07T09:43:39, 5.3561583, 95.4186020, 66.9, 28
2021-02-07T09:43:40, 5.3561640, 95.4186100, 66.9, 28
2021-02-07T09:43:41, 5.3561659, 95.4186100, 66.7, 28
2021-02-07T09:43:42, 5.3561683, 95.4186170, 66.5, 28
2021-02-07T09:43:43, 5.3561735, 95.4186250, 66.5, 28
2021-02-07T09:43:44, 5.3561797, 95.4186330, 65.8, 28
2021-02-07T09:43:45, 5.3561850, 95.4186400, 65.8, 28
2021-02-07T09:43:46, 5.3561883, 95.4186480, 65.9, 28
2021-02-07T09:43:47, 5.3561935, 95.4186550, 65.4, 28
2021-02-07T09:43:48, 5.3561993, 95.4186630, 65.0, 28
2021-02-07T09:43:49, 5.3562036, 95.4186780, 64.5, 28
2021-02-07T09:43:50, 5.3562059, 95.4186860, 64.5, 28
2021-02-07T09:43:51, 5.3562102, 95.4186860, 64.9, 28
2021-02-07T09:43:52, 5.3562145, 95.4187010, 64.9, 28
2021-02-07T09:43:53, 5.3562198, 95.4187090, 64.8, 28
2021-02-07T09:43:54, 5.3562255, 95.4187160, 63.5, 28
2021-02-07T09:43:55, 5.3562346, 95.4187240, 63.0, 28
2021-02-07T09:43:56, 5.3562427, 95.4187240, 63.6, 28
2021-02-07T09:43:57, 5.3562474, 95.4187240, 63.6, 28
2021-02-07T09:43:59, 5.3562603, 95.4187390, 63.4, 28
2021-02-07T09:44:00, 5.3562655, 95.4187470, 63.7, 28
2021-02-07T09:44:01, 5.3562722, 95.4187550, 63.3, 28
2021-02-07T09:44:02, 5.3562698, 95.4187620, 63.6, 28
2021-02-07T09:44:03, 5.3562732, 95.4187770, 62.6, 28
2021-02-07T09:44:04, 5.3562799, 95.4187850, 62.9, 28
2021-02-07T09:44:05, 5.3562841, 95.4187930, 62.1, 28
2021-02-07T09:44:06, 5.3562884, 95.4188000, 61.7, 28
2021-02-07T09:44:07, 5.3562956, 95.4188080, 61.1, 28
2021-02-07T09:44:08, 5.3562975, 95.4188230, 61.5, 28
2021-02-07T09:44:09, 5.3563008, 95.4188460, 61.8, 28
2021-02-07T09:44:10, 5.3563018, 95.4188540, 62.6, 28
2021-02-07T09:44:11, 5.3562975, 95.4188770, 62.8, 28
2021-02-07T09:44:12, 5.3562961, 95.4188840, 62.5, 28
2021-02-07T09:44:13, 5.3562922, 95.4188920, 62.3, 28
2021-02-07T09:44:14, 5.3562880, 95.4189000, 62.4, 28
2021-02-07T09:44:15, 5.3562884, 95.4189070, 62.7, 28
2021-02-07T09:44:16, 5.3562875, 95.4189150, 63.9, 28
2021-02-07T09:44:17, 5.3562860, 95.4189220, 63.3, 28
2021-02-07T09:44:18, 5.3562865, 95.4189300, 62.4, 28
2021-02-07T09:44:19, 5.3562856, 95.4189450, 62.3, 28
2021-02-07T09:44:20, 5.3562884, 95.4189530, 62.2, 28
2021-02-07T09:44:21, 5.3562937, 95.4189610, 62.6, 28
2021-02-07T09:44:22, 5.3562970, 95.4189610, 63.1, 28
2021-02-07T09:44:23, 5.3562913, 95.4189610, 63.7, 28
2021-02-07T09:44:24, 5.3562913, 95.4189760, 64.1, 28
2021-02-07T09:44:25, 5.3562951, 95.4189830, 64.4, 28
2021-02-07T09:44:26, 5.3563023, 95.4189910, 64.4, 28
2021-02-07T09:44:27, 5.3563113, 95.4189990, 64.1, 28
2021-02-07T09:44:28, 5.3563190, 95.4189910, 64.0, 28
2021-02-07T09:44:29, 5.3563294, 95.4189830, 63.4, 28
2021-02-07T09:44:30, 5.3563423, 95.4189830, 63.3, 28
2021-02-07T09:44:31, 5.3563538, 95.4189830, 62.9, 28
2021-02-07T09:44:32, 5.3563666, 95.4189830, 63.6, 28
2021-02-07T09:44:33, 5.3563786, 95.4189910, 64.6, 28
2021-02-07T09:44:34, 5.3563871, 95.4190060, 65.0, 28
2021-02-07T09:44:35, 5.3563962, 95.4190060, 63.4, 28
2021-02-07T09:44:36, 5.3564076, 95.4190140, 63.6, 28
2021-02-07T09:44:37, 5.3564186, 95.4190220, 64.1, 28
2021-02-07T09:44:39, 5.3564448, 95.4190370, 65.4, 28
2021-02-07T09:44:40, 5.3564520, 95.4190370, 65.9, 28
2021-02-07T09:44:41, 5.3564625, 95.4190440, 65.9, 28
2021-02-07T09:44:42, 5.3564711, 95.4190440, 65.5, 28
2021-02-07T09:44:43, 5.3564796, 95.4190440, 65.1, 28
2021-02-07T09:44:44, 5.3564873, 95.4190440, 65.6, 28
2021-02-07T09:44:45, 5.3564959, 95.4190440, 65.5, 28
2021-02-07T09:44:46, 5.3565049, 95.4190440, 65.4, 28
2021-02-07T09:44:47, 5.3565135, 95.4190520, 65.3, 28
2021-02-07T09:44:48, 5.3565178, 95.4190600, 64.6, 28
2021-02-07T09:44:49, 5.3565221, 95.4190670, 64.1, 28
